trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,0,-152.78122246053147,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,17,-83.49018192297325,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,0,-69.3279167575136,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,15,7.763582504628697,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,19,-1.7949371032185435,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",35,0,-94.54305812139279,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,0,-0.28566833572490413,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-57.00886471994161,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-16.737928648666013,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,4.023190560350855,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,2,-52.114846905926306,"{0: 18, 1: 3, 2: 0, 3: 1, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,-104.48566728802378,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,9,7.1747523581371,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,9,-28.728885640522535,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-96.24534459427116,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,9,21.534385147726514,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",30,20,-3.134371649558802,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,5,-87.2464129161543,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,0,-54.46756703584462,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,7,16.003946687182953,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,8,-45.539910152690325,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",25,0,-30.02884409244998,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,0,-1.2953091930902132,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,0,-49.08302445725362,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,8,-62.914153846493996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,12,-24.83229899768753,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,11,20.306558276105363,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,13,-14.91083109851441,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,6,-27.15319046769905,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",35,19,-13.64896716521182,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,8,-31.263797733966722,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,-66.15585249972276,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,15,8.446060712920469,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,6,-21.942652727873735,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",30,15,-9.850696437080424,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,12,-25.206094369032773,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,9,-16.429531292554778,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,8,-31.167654987673664,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,13,-9.421591788448055,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-39.14473945135132,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,2,-42.45209215515594,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
